Remove	File_name	Sample_name	Run	IDH	PDGFRA	P53	ATRX	Condition	Condition2
	Adi_19_IGO_10499_19_S19	Adi_19_IWT_AP_R2	Run2	WT		gRNA	shRNA	C2	C2
	Adi_17_IGO_10499_17_S17	Adi_17_EC_R3	Run2			WT	shRNA	C4	C4
	Adi_29_IGO_10499_29_S29	Adi_29_EC_R6	Run2			WT	shRNA	C4	C4
	Adi_15_IGO_10499_15_S15	Adi_15_IPC_B	Run2	R132H	WT	gRNA		C8	C8
	Adi_16_IGO_10499_16_S16	Adi_16_IPC_R7	Run2	R132H	WT	gRNA		C8	C8
	Adi_28_IGO_10499_28_S28	Adi_28_IPC_R4	Run2	R132H	WT	gRNA		C8	C8
	Adi10_IGO_11224_16_S16	Adi10_Iwt_AP-4&5	Run3	WT		gRNA	shRNA	C2	C2
	Adi13_IGO_11224_5_S5	Adi13_IR132H_AP-8&9-R11	Run3	R132H		gRNA	shRNA	C1B	C1
	Adi16_IGO_11224_6_S6	Adi16_IR132H_AP-TT-R2	Run3	R132H		gRNA	shRNA	C9	C9
	Adi18_IGO_11224_12_S12	Adi18_IR132H_AP-8&9-401-R1	Run3	R132H		gRNA	shRNA	C1A	C1
	Adi20_IGO_11224_7_S7	Adi20_IR132H_AP-14&15-R1	Run3	R132H		gRNA	shRNA	C1A	C1
	Adi21_IGO_11224_14_S14	Adi21_IR132H_AP-14&15-R2	Run3	R132H		gRNA	shRNA	C1A	C1
	Adi22_IGO_11224_8_S8	Adi22_IR132H_AP-14&15-R3	Run3	R132H		gRNA	shRNA	C1B	C1
	Adi24_IGO_11224_15_S15	Adi24_IR132H_AP-TT-R-R5	Run3	R132H		gRNA	shRNA	C9	C9
	Adi26_IGO_11224_20_S20	Adi26_Iwt_AP-4&5-R2	Run3	WT		gRNA	shRNA	C2	C2
	Adi28_IGO_11224_21_S21	Adi28_Iwt_AP-4&5-R6	Run3	WT		gRNA	shRNA	C2	C2
Yes	Adi7_IGO_11224_4_S4	Adi7_Iwt_AP-6-R3	Run3	WT		gRNA	shRNA	C2	C2
Yes	Adi9_IGO_11224_13_S13	Adi9_Iwt_AP-6-R8	Run3	WT		gRNA	shRNA	C2	C2
	IAP1011_2H_IGO_11224_1_S1	IAP10112H	Run3	R132H		gRNA	shRNA	C1B	C1
	IAP13_R3_IGO_11224_2_S2	IAP13R3	Run3	R132H		gRNA	shRNA	C1B	C1
	IAPTT_R2_IGO_11224_3_S3	IAPTTR2	Run3	R132H		gRNA	shRNA	C9	C9
	TTB_3_IGO_11224_17_S17	TTB3	Run3	R132H		gRNA	shRNA	C9	C9
	TTB_6_IGO_11224_11_S11	TTB6	Run3	R132H		gRNA	shRNA	C9	C9
	TTC_3_IGO_11224_18_S18	TTC3	Run3	R132H		gRNA	shRNA	C9	C9
	TTC_6_IGO_11224_19_S19	TTC6	Run3	R132H		gRNA	shRNA	C9	C9
	TTC_7_IGO_11224_9_S9	TTC7	Run3	R132H		gRNA	shRNA	C9	C9
	WT_1_IGO_11224_10_S10	WT1	Run3	R132H		WT	shRNA	C4	C4
